date	index
10.12.2021	483.15
13.12.2021	478.78
14.12.2021	473.50
15.12.2021	481.55
16.12.2021	474.79
17.12.2021	475.56
20.12.2021	468.49
21.12.2021	481.18
22.12.2021	483.15
23.12.2021	487.84
24.12.2021	487.31
27.12.2021	492.09
28.12.2021	492.14
29.12.2021	489.93
30.12.2021	490.00
31.12.2021	486.20
3.1.2022	492.32
4.1.2022	490.88
5.1.2022	478.80
6.1.2022	478.36
7.1.2022	472.73
10.1.2022	473.52
11.1.2022	478.13
12.1.2022	475.67
13.1.2022	467.00
14.1.2022	466.44
17.1.2022	468.49
18.1.2022	462.69
19.1.2022	458.13
20.1.2022	455.01
21.1.2022	445.15
24.1.2022	445.84
25.1.2022	439.51
26.1.2022	437.55
27.1.2022	435.83
28.1.2022	442.38
31.1.2022	453.68
1.2.2022	457.92
2.2.2022	457.17
3.2.2022	440.32
4.2.2022	444.18
7.2.2022	443.21
8.2.2022	447.89
9.2.2022	457.45
10.2.2022	450.04
11.2.2022	441.95
14.2.2022	442.99
15.2.2022	450.37
16.2.2022	450.18
17.2.2022	438.67
18.2.2022	433.78
21.2.2022	433.15
22.2.2022	428.47
23.2.2022	420.77
24.2.2022	433.92
25.2.2022	436.42
28.2.2022	437.86
1.3.2022	434.26
2.3.2022	444.10
3.3.2022	438.15
4.3.2022	435.86
7.3.2022	422.03
8.3.2022	420.08
9.3.2022	428.30
10.3.2022	426.99
11.3.2022	422.34
14.3.2022	418.28
15.3.2022	426.53
16.3.2022	438.20
17.3.2022	440.34
18.3.2022	449.45
21.3.2022	446.05
22.3.2022	453.81
23.3.2022	447.98
24.3.2022	454.30
25.3.2022	454.25
28.3.2022	458.21
29.3.2022	461.94
30.3.2022	454.62
31.3.2022	448.79
1.4.2022	452.07
4.4.2022	461.46
5.4.2022	455.83
6.4.2022	447.20
7.4.2022	446.59
8.4.2022	445.14
11.4.2022	438.42
12.4.2022	436.38
13.4.2022	442.86
14.4.2022	439.59
19.4.2022	444.74
20.4.2022	439.66
21.4.2022	432.49
22.4.2022	424.66
25.4.2022	430.66
26.4.2022	419.99
27.4.2022	421.60
28.4.2022	433.27
29.4.2022	420.47
2.5.2022	424.77
3.5.2022	424.77
4.5.2022	433.01
5.5.2022	418.01
6.5.2022	408.76
9.5.2022	394.89
10.5.2022	396.12
11.5.2022	388.80
12.5.2022	392.85
13.5.2022	405.28
16.5.2022	399.71
17.5.2022	404.45
18.5.2022	391.35
19.5.2022	388.59
20.5.2022	390.38
23.5.2022	391.69
24.5.2022	381.47
25.5.2022	387.94
26.5.2022	395.16
27.5.2022	406.21
30.5.2022	405.35
31.5.2022	403.33
1.6.2022	402.12
2.6.2022	410.51
3.6.2022	403.96
6.6.2022	405.07
7.6.2022	407.59
8.6.2022	402.90
9.6.2022	396.28
10.6.2022	386.30
13.6.2022	373.34
14.6.2022	371.48
15.6.2022	378.68
16.6.2022	363.31
17.6.2022	367.76
20.6.2022	366.15
21.6.2022	371.97
22.6.2022	370.12
23.6.2022	376.31
24.6.2022	388.33
27.6.2022	384.27
28.6.2022	379.07
29.6.2022	377.65
30.6.2022	373.39
1.7.2022	377.60
4.7.2022	377.04
5.7.2022	386.82
6.7.2022	389.90
7.7.2022	398.68
8.7.2022	398.02
11.7.2022	394.61
12.7.2022	392.59
13.7.2022	388.81
14.7.2022	389.46
15.7.2022	395.49
18.7.2022	392.09
19.7.2022	400.97
20.7.2022	409.31
21.7.2022	415.54
22.7.2022	409.67
25.7.2022	407.83
26.7.2022	403.90
27.7.2022	415.95
28.7.2022	420.92
29.7.2022	422.50
1.8.2022	421.54
2.8.2022	423.38
3.8.2022	434.05
4.8.2022	430.34
5.8.2022	430.71
8.8.2022	427.84
9.8.2022	423.05
10.8.2022	428.74
11.8.2022	428.83
12.8.2022	439.11
15.8.2022	442.90
16.8.2022	443.52
17.8.2022	438.79
18.8.2022	440.62
19.8.2022	435.53
22.8.2022	428.46
23.8.2022	426.10
24.8.2022	427.19
25.8.2022	433.91
26.8.2022	418.76
29.8.2022	414.24
30.8.2022	412.41
31.8.2022	408.02
1.9.2022	408.23
